traveler_id	reservation_id	reservation_date	package_type	departure_date	departure_code	arrival_code	arrival_country	return_date	carrier_id	no_of_adults	no_of_kids
8811270	493773a099a7b51667371d3819275363e45c99e5d27f197d3fab06ab9f8fba89	2018-09-24	STP	2018-10-28	GOT	KGS	Greece	2018-11-04	246	2	0
4794059	1baa34e1d7cb1b867b37e6b09d9c0ad66f9df8ce7709480ca4fb1150be5f4860	2018-08-10	STP	2018-08-17	ARN	ZTH	Greece	2018-08-24	246	1	2
8953031	8828e63b4d726c5707b1e0beba40e4b74f876a7ad6ef6e841f55e00510080406	2018-06-08	STP	2018-08-25	ARN	AYT	Turkey	2018-09-01	246	2	3
8594016	b9bc5ee4a90f832ec2de5ef69cb5c209ddbbefc8bc90ec4aaf6681f8e22799b2	2018-06-02	STP	2018-08-04	HEL	MAH	Spain	2018-08-11	246	2	0
8017208	c53efb6769a690fcdc2419abd410c71cb61eadbc41eccd17b123a9d75b88b21f	2017-08-09	STP	2017-10-01	OSL	PMI	Spain	2017-10-08	246	3	0
7828136	f6970840cf5e11d3299d0dc9cee1e6393ba8db7bd0c07e3c50896abfdd4b824c	2017-05-02	STP	2017-07-17	OSL	PMI	Spain	2017-07-24	246	1	0
6797654	4e7d4965fe8f667f101e33a802f1f2c6d854158a44938c2084bdff6d58007c43	2017-04-29	STP	2017-06-04	GOT	LCA	Cyprus	2017-06-11	246	2	0
6303211	477fcea2d0d0be10d37be49d52bb506f007895e410015228c86163c1ff9dcce8	2017-06-10	STP	2017-07-14	GOT	LPA	Spain	2017-07-21	246	2	0
7970057	9240d7e3c630630e4c25c2cd8c8e8709fd17bc500f532ff9b1418acd762f9577	2017-07-18	STP	2017-08-30	OSL	LPA	Spain	2017-09-06	246	2	0
6737978	268d8ad4dbc646dcdabddd635f9643c4263fce386e4320ff5110504644a9dfaf	2018-07-05	STP	2018-08-12	ARN	LCA	Cyprus	2018-08-19	997	2	2
7958666	b229da8c5e88e60d4785beeb9b718b6f7e23bbe561c4ef369ffd97eb3101750a	2017-07-12	SOB	2017-08-07	CPH	PMI	Spain	2017-08-14	246	2	1
6582399	7de3733063ee733e7b41e12a2d0110bac76e909e61677fa82a84e9da83e15453	2017-01-12	STP	2017-09-04	GOT	PMI	Spain	2017-09-11	246	2	0
7891338	d37e68d9922fa53b7bbb1bef04d969f90fd432f751176295f12163b438247848	2017-06-09	SOB	2017-06-19	GOT	PMI	Spain	2017-06-26	246	3	0
8697649	e0b176abd35201e6438b3e50470a8a027082f493af18f0969c0731c340af17c1	2018-07-26	STP	2018-08-12	ARN	KGS	Greece	2018-08-19	997	2	1
8851251	2a06717c3f7d524667c8b76b714a843ee658157893e2fc513efbf11b3043aa8b	2018-10-15	SOB	2018-10-20	ARN	AYT	Turkey	2018-10-27	246	2	0
8561525	a833dad1e0f6459ee588545e3151c21dfd229009ee62ef2aa72979e22dbbca58	2018-05-15	STP	2018-09-30	ARN	HER	Greece	2018-10-07	246	2	1
7696629	267e7ca6032c1f1ec52dcf9013bbf6550b630417533560cb7881539b7eb2a71f	2017-02-28	STP	2017-08-16	ARN	LCA	Cyprus	2017-08-23	246	2	3
4605759	33e99cb2b47888888d6745a2a141b77dfd1d1efed0ea462d778016f69434d294	2018-01-15	STP	2018-09-17	ARN	PMI	Spain	2018-10-01	997	2	0
8633266	39e726437d81fd1d3a291d6c8b6ef1dace058435e315428e420d1b169c972fa3	2018-05-31	STP	2018-10-01	OSL	PMI	Spain	2018-10-08	246	2	1
